name,rank,market_value_mil,industry,description
TJX,87,90315,Specialty Retailers: Apparel,"TJX Companies, Inc. is an American multinational off-price department store corporation, headquartered in the United States. It operates several chains of off-price retail stores, including T.J.Maxx, Marshalls, HomeGoods, Sierra, and Homesense. Founded in 1956, TJX is known for offering brand name and designer goods at discounted prices. The company has a presence in multiple countries and has grown to become one of the largest off-price retailer in the world."
Progressive,88,83743,Insurance: Property and Casualty (Stock),"Progressive Corporation is an American insurance company. It is one of the largest providers of car insurance in the United States. The company also offers other types of insurance such as homeowners insurance, renters insurance, and life insurance. Progressive is known for its innovative approach to insurance, including the use of technology to streamline the claims process and provide customers with competitive rates. The company was founded in 1937 and has since grown to become a major player in the insurance industry."
American Airlines Group,89,9629,Airlines,"American Airlines Group Inc. is a major American airline holding company based in the United States. It was formed on December 9, 2013, following the merger of AMR Corporation, the parent company of American Airlines, and US Airways Group. American Airlines Group operates an extensive international and domestic network with almost 6,800 flights per day to nearly 350 destinations in more than 50 countries. With its fleet of over 850 aircraft, American Airlines is one of the largest airlines in the world. The company is known for its frequent flyer program, AAdvantage, and for being a founding member of the Oneworld airline alliance."
Performance Food Group,91,9422,Wholesalers: Food and Grocery,"Performance Food Group Company is an American company that markets and distributes food and related products. The company was founded in 1885 and has since grown to become one of the leading food distributors in the United States. Performance Food Group serves a wide range of customers, including restaurants, healthcare facilities, schools, and convenience stores. The company offers a diverse selection of products, including fresh produce, dairy, meat, seafood, and kitchen supplies. Performance Food Group is known for its reliable service and commitment to quality, making it a trusted partner for businesses in the foodservice industry."
PBF Energy,92,5589,Petroleum Refining,"PBF Energy Inc. is a petroleum refiner and supplier of unbranded transportation fuels, heating oil, petrochemical feedstocks, lubricants, and other petroleum products. The company operates oil refineries in multiple locations in the United States, with a combined processing capacity of over 1 million barrels per day. PBF Energy Inc. was founded in 2008 and has since grown to become one of the largest independent petroleum refiners in North America."
Nike,93,190161,Apparel,"NIKE, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is one of the world's largest suppliers of athletic shoes and apparel and a major manufacturer of sports equipment, with sales in more than 180 countries. Nike was founded in 1964 as Blue Ribbon Sports by Bill Bowerman and Phil Knight and officially became Nike, Inc. in 1971. The company is known for its iconic ""swoosh"" logo and its ""Just Do It"" slogan, which has become a globally recognized marketing tagline."
Best Buy,94,17066,Specialty Retailers: Other,"Best Buy Co., Inc. is a multinational consumer electronics retailer headquartered in the United States. The company was founded in 1966 and has since grown to become one of the largest consumer electronics retailers in the world. Best Buy operates both online and brick-and-mortar stores, offering a wide range of products including electronics, appliances, entertainment products, and services. With a focus on providing customers with the latest technology and a superior shopping experience, Best Buy has established itself as a leader in the consumer electronics industry."
Bristol-Myers Squibb,95,145780,Pharmaceuticals,"Bristol-Myers Squibb Company is an American pharmaceutical company that focuses on discovering, developing, and delivering innovative medicines for patients with serious diseases. The company's areas of focus include oncology, immunology, cardiovascular disease, and fibrosis. Bristol-Myers Squibb is known for developing and marketing a number of leading prescription drugs and has a global presence in the healthcare industry."
United Airlines Holdings,96,14474,Airlines,"United Airlines Holdings, Inc. is an American publicly traded airline holding company headquartered in Chicago, Illinois. It was formed on December 30, 2019, as a result of the merger of United Continental Holdings, Inc. and the former United Airlines, Inc. United Airlines Holdings owns and operates United Airlines, one of the world's largest airlines with an extensive network of domestic and international routes. The company operates a large fleet of aircraft and offers passenger and cargo services to various destinations around the world."
Thermo Fisher Scientific,97,222150,"Scientific, Photographic and Control Equipment","Thermo Fisher Scientific Inc. is an American multinational corporation that provides scientific research services, laboratory equipment, reagents, consumables, software, and services. The company was formed through the merger of Thermo Electron and Fisher Scientific in 2006. Thermo Fisher Scientific serves various industries, including healthcare, pharmaceuticals, biotechnology, environmental monitoring, and academia. The company is a leading provider of analytical instruments, reagents, consumables, software, and services for research, manufacturing, analysis, discovery, and diagnostics."
Qualcomm,98,142252,Semiconductors and Other Electronic Components,"QUALCOMM Incorporated is an American multinational corporation that specializes in telecommunications equipment, semiconductors, and wireless technology. Founded in 1985, QUALCOMM is known for its development of technology used in mobile devices and other wireless communications systems. The company is a major player in the design and manufacturing of semiconductors for mobile phones, broadband networks, and other devices. QUALCOMM is also a prominent developer of 5G technology, providing solutions for the deployment of next-generation wireless networks."
Abbott Laboratories,99,175984,Medical Products and Equipment,"Abbott Laboratories is an American multinational healthcare company with a range of branded generic pharmaceuticals, medical devices, diagnostics, and nutrition products. The company's areas of focus include cardiovascular products, diagnostic assays, diabetes care, and neuromodulation devices, among others. Abbott Laboratories has a global presence and is committed to advancing healthcare by developing innovative products and technologies to help people live healthier lives."
Coca-Cola,100,268361,Beverages,"Coca-Cola is a carbonated soft drink manufactured by The Coca-Cola Company. It was originally invented in the late 19th century by a pharmacist named John Stith Pemberton. The drink's name refers to two of its original ingredients: coca leaves and kola nuts. Coca-Cola is one of the most popular and widely recognized beverages in the world, available in numerous countries and enjoyed by millions of people daily. The brand has expanded to include a variety of flavors and products, including Diet Coke, Coca-Cola Zero Sugar, and various other beverages."
Oracle,101,250866,Computer Software,"Oracle Corporation is an American multinational computer technology corporation headquartered in [location withheld]. The company provides database software and technology, cloud-engineered systems, and enterprise software products. Oracle's offerings include applications for customer relationship management, enterprise resource planning, and supply chain management, as well as servers, storage, and cloud solutions. Oracle is known for its flagship product, the Oracle Database, and has a strong presence in the enterprise software market."
Nucor,102,38917,Metals,"Nucor Corporation is a Fortune 250 company and one of the largest steel producers in North America. With a focus on sustainable practices and innovative technologies, Nucor is known for its commitment to environmental responsibility and product quality. The company operates multiple steel mills, recycling facilities, and downstream operations, serving various industries such as automotive, construction, and infrastructure. Nucor is recognized for its decentralized management structure and employee-centric culture, which have been instrumental in its success and growth over the years."
General Dynamics,105,62692,Aerospace & Defense,"General Dynamics Corporation is an American aerospace and defense company. It is one of the largest defense contractors in the world and is primarily engaged in the design, development, and manufacturing of defense products such as armored vehicles, munitions, combat systems, and IT solutions. General Dynamics serves both government and commercial customers and is known for its innovation and technological expertise in the defense industry."
Capital One Financial,106,36776,Commercial Banks,"Capital One Financial Corporation is an American bank holding company specializing in credit cards, auto loans, banking, and savings accounts. Founded in 1988, Capital One has become one of the largest banks in the United States based on deposits and assets. The company is known for its innovative use of technology and data analytics in financial services, as well as its aggressive marketing techniques. Capital One operates primarily in the United States, Canada, and the United Kingdom, providing a wide range of financial products and services to consumers, small businesses, and commercial clients."
HF Sinclair,107,9492,Petroleum Refining,"HF Sinclair Corporation, commonly known as Sinclair Oil Corporation, is an American petroleum corporation that is privately owned. It is one of the largest privately-owned oil companies in the United States. Founded in 1916 by Harry F. Sinclair, the company is involved in all aspects of oil and gas exploration, production, refining, and distribution. Sinclair Oil is known for its iconic green dinosaur logo and operates a network of gas stations across the country. In addition to its petroleum business, Sinclair Oil also has interests in petrochemicals, transportation, and other related industries. The company is headquartered in the United States and has a long history in the American oil industry."
Dollar General,108,46114,Specialty Retailers: Other,"Dollar General Corporation is an American chain of variety stores that operates over 16,000 stores in the United States. The company is headquartered in Goodlettsville, Tennessee. With a focus on low-cost household goods, Dollar General offers a wide range of products, including food, snacks, health and beauty aids, cleaning supplies, household items, apparel, and seasonal items, at discounted prices. The company primarily targets customers in rural and suburban areas with convenient locations and affordable prices."
Arrow Electronics,109,7278,Wholesalers: Electronics and Office Equipment,"Arrow Electronics, Inc. is a Fortune 500 company that specializes in the distribution and sales of electronic components and computer products. The company was founded in 1935 and has since grown to become one of the largest electronics distributors in the world. Arrow Electronics operates in over 90 countries and offers a wide range of products and services, including semiconductor and passive components, electromechanical products, and enterprise computing solutions. The company serves a diverse customer base that includes manufacturers, industrial companies, and technology firms, providing them with innovative solutions and supply chain services to help bring their products to market."
Occidental Petroleum,110,56069,"Mining, Crude-Oil Production","Occidental Petroleum Corporation is an American company engaged in hydrocarbon exploration in the United States, the Middle East, and Latin America. It is one of the largest oil producers in Texas and has operations in California as well. The company is involved in various aspects of the oil and gas industry, including exploration, production, and marketing. Occidental Petroleum was founded in 1920 and has since grown to become a major player in the global energy sector."
Travelers,112,39783,Insurance: Property and Casualty (Stock),"Travelers Cos., Inc., commonly known as Travelers, is an American insurance company. It is the second-largest writer of U.S. commercial property casualty insurance, and the sixth-largest writer of U.S. personal insurance through independent agents. The company has operations in the United States, Canada, the United Kingdom, and Ireland. Travelers was founded in 1853 and has a long history in the insurance industry."
Northrop Grumman,113,70203,Aerospace & Defense,"Northrop Grumman Corporation is an American global aerospace and defense technology company. It is one of the world's largest defense contractors and ranks among the top defense companies globally. Northrop Grumman provides innovative systems, products, and solutions in autonomous systems, cyber, space, strike, and logistics and modernization to customers around the world. The company has a long history of involvement in various defense and technology projects, making it a key player in the aerospace and defense industry."
Honeywell International,115,127695,"Electronics, Electrical Equipment","Honeywell International Inc. is an American publicly traded conglomerate company that produces a variety of consumer and commercial products, engineering services, and aerospace systems. It operates through four main business segments: Aerospace, Home and Building Technologies, Performance Materials and Technologies, and Safety and Productivity Solutions. Honeywell is known for its innovative technology solutions in areas such as energy efficiency, safety, security, and productivity. The company has a global presence and serves customers in various industries, including aerospace, defense, energy, manufacturing, and healthcare."
3M,116,57965,Chemicals,"3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces a variety of products, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, dental and orthodontic products, electronic materials, medical products, car-care products, electronic circuits, healthcare software, and optical films. 3M is known for its innovation, with notable inventions including the Post-it Note and the Scotch Tape. The company has a strong global presence and is considered a pioneer in research and development."
US Foods Holding,117,8568,Wholesalers: Food and Grocery,"US Foods Holding Corp. is an American foodservice distributor headquartered in Rosemont, Illinois. The company supplies food and related products to over 250,000 customers, including restaurants, healthcare facilities, government entities, and educational institutions. US Foods Holding Corp. offers a wide range of products including fresh produce, meats, seafood, dairy, dry goods, and kitchen supplies. The company operates more than 60 distribution centers across the United States, making it one of the largest foodservice distributors in the country."
Warner Bros. Discovery,118,36778,Entertainment,"Warner Bros. Discovery, Inc. is a multinational mass media and entertainment conglomerate formed from the merger of WarnerMedia, a subsidiary of AT&T, and Discovery, Inc. The company operates a diverse range of businesses in television, film, and digital media. It is one of the largest and most well-known entertainment companies in the world, with a vast library of iconic films and TV shows. Warner Bros. Discovery, Inc. continues to produce and distribute content through various platforms to audiences globally."
Lennar,119,29726,Homebuilders,"Lennar Corporation is a home construction and real estate company based in the United States. Founded in 1954, Lennar is one of the largest homebuilders in the country. The company operates in multiple states across the U.S. and offers a range of services including home construction, financial services, and asset management. Lennar is known for its focus on innovative home designs, quality construction, and customer satisfaction."
D.R. Horton,120,33546,Homebuilders,"D.R. Horton, Inc. is an American residential construction company that was founded in 1978. It is one of the largest homebuilding companies in the United States. The company primarily focuses on the construction and sale of single-family homes, operating in multiple states across the country. D.R. Horton is known for its diverse range of home designs and flexible floor plans, catering to a wide variety of customers. In addition to homebuilding, the company also offers mortgage financing services to homebuyers."
Jabil,121,11750,Semiconductors and Other Electronic Components,"Jabil Inc. is an American worldwide manufacturing services company. Headquartered in the United States, Jabil provides comprehensive electronics design, production, and product management services to global electronics and technology companies. The company operates in over 25 countries and provides end-to-end product solutions for various industries, including healthcare, automotive, consumer electronics, and more. Jabil is known for its expertise in supply chain optimization, product design, and manufacturing innovation."
Cheniere Energy,122,38408,Pipelines,"Cheniere Energy is a Houston-based energy company engaged in liquefied natural gas (LNG) -related businesses. The company owns and operates the first liquefaction export facility in the United States, located in Louisiana. Cheniere Energy is a major player in the LNG industry, focusing on the production, transportation, and marketing of LNG. The company also has interests in natural gas pipelines and infrastructure. Founded in 1996, Cheniere Energy has become a significant player in the global energy market, particularly in the LNG sector."
Broadcom,123,267473,Semiconductors and Other Electronic Components,"Broadcom Inc. is a global technology company that designs, develops, and supplies a broad range of semiconductor and infrastructure software solutions. The company's product portfolio includes semiconductor devices, networking and storage equipment, and software for data center, networking, broadband, wireless, and industrial markets. Broadcom serves customers in various industries, including telecommunications, data center, enterprise networking, and the internet of things (IoT). The company was founded in 1961 and has since grown to become a leading player in the technology sector."
CarMax,124,10158,"Automotive Retailing, Services","CarMax, Inc. is a Fortune 500 company that operates as a retailer of used vehicles in the United States. It was founded in 1993 and is headquartered in Richmond, Virginia. CarMax is known for its no-haggle pricing model and a wide selection of cars and financing options. The company has over 200 locations nationwide and has been recognized for its customer service and employee satisfaction."
Starbucks,125,119677,Food Services,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It is known for its high-quality coffee and espresso beverages, as well as a variety of pastries, snacks, and other food items. Starbucks is one of the largest coffeehouse chains in the world, operating thousands of locations globally. Founded in 1971, Starbucks has become a prominent and recognizable brand for coffee lovers worldwide."
Molina Healthcare,126,15586,Health Care: Insurance and Managed Care,"Molina Healthcare, Inc. is a managed care company that provides health insurance to individuals and families who receive their care through Medicaid, Medicare, and through the health insurance marketplaces. The company was founded in 1980 by C. David Molina, MD, and is focused on serving low-income individuals and families. Molina Healthcare operates health plans in multiple states in the United States, offering a range of health insurance products and services to its members."
Uber Technologies,127,63840,Internet Services and Retailing,"Uber Technologies, Inc., commonly known as Uber, is an American technology company. It operates a platform that connects users with transportation options, such as ride-sharing and food delivery services. Uber was founded in 2009 and has since expanded globally, becoming a prominent player in the sharing economy industry. With its innovative technology and user-friendly app, Uber has revolutionized the way people commute and order food in various cities around the world."
Philip Morris International,128,150946,Tobacco,"Philip Morris International Inc. is an American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries outside the United States. It is one of the largest tobacco companies in the world and is known for brands such as Marlboro, Parliament, and L&M. The company was established in 2008 when it was spun off from its former parent company, Altria Group. Philip Morris International focuses on the production and sale of cigarettes, smoke-free products, and other tobacco-related products globally."
Netflix,129,153858,Entertainment,"Netflix, Inc. is an American subscription-based streaming service that offers a wide variety of TV shows, movies, anime, documentaries, and more on thousands of internet-connected devices. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, the company initially focused on DVD rental by mail before transitioning to a subscription-based streaming service in 2007. Netflix has since grown to become one of the largest streaming services globally, with millions of subscribers enjoying on-demand entertainment content. The company is known for its original content production, including popular series like ""Stranger Things,"" ""The Crown,"" and ""House of Cards."""
NRG Energy,130,7965,Energy,"NRG Energy, Inc. is an American energy company that produces electricity and provides energy solutions and services to customers in the United States. The company was founded in 1992 and is one of the largest independent power producers in the nation. NRG Energy operates a diverse portfolio of power generation facilities, including natural gas, coal, oil, nuclear, and renewable energy sources such as wind and solar. The company also offers retail electricity and natural gas services to residential, commercial, and industrial customers."
Mondelez International,131,95050,Food Consumer Products,"Mondelez International, Inc. is an American multinational confectionery, food, holding, and beverage company based in the United States. It was established in 2012 after splitting from the Kraft Foods Inc. company. Mondelez International operates in more than 150 countries and is known for its wide range of products, including snacks, chocolate, gum, and candy. Some of the well-known brands owned by Mondelez International include Oreo, Cadbury, Toblerone, Trident, and Ritz. The company is one of the largest snack companies in the world, with a strong presence in both developed and emerging markets."
Danaher,132,183764,Medical Products and Equipment,"Danaher Corporation is an American company with a diverse portfolio of businesses in the fields of life sciences, diagnostics, and environmental and applied solutions. The company operates through various segments, including Life Sciences, Diagnostics, Dental, and Environmental & Applied Solutions. Danaher's businesses are known for their innovation, quality, and customer service, and the company has a strong emphasis on continuous improvement and operational efficiency. Originally founded in 1984, Danaher has grown through a series of successful acquisitions and has established itself as a global leader in the industries it serves."
Salesforce,133,199780,Computer Software,"Salesforce, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) software and other enterprise solutions to businesses of all sizes. Salesforce is known for its innovative approach to CRM, focusing on cloud technology and artificial intelligence to help companies manage their sales, customer service, marketing, and more. The company was founded in 1999 by former Oracle executive Marc Benioff and has since grown to become one of the largest and most well-known software companies in the world."
Paramount Global,134,14657,Entertainment,"Paramount Global is an American diversified multinational media conglomerate. The company was originally founded as Famous Players Film Company in 1912 and later became Paramount Pictures Corporation in 1916. Paramount Global operates as a major player in the entertainment industry, with interests in film production, television production, broadcasting, and streaming services. The company's portfolio includes Paramount Pictures, Paramount Television Studios, CBS Studios, Showtime Networks, and various other media assets. With a rich history in the entertainment business, Paramount Global continues to be a prominent and influential force in shaping popular culture worldwide."
CBRE Group,135,22563,Real Estate,"CBRE Group, Inc. is a commercial real estate services and investment firm. It is the largest commercial real estate services company in the world. CBRE offers a wide range of services, including property sales, leasing, property management, valuation, and mortgage services. The company operates in over 100 countries and has more than 100,000 employees worldwide. CBRE has been ranked as the top real estate investment firm for several years and is known for its expertise in the real estate market."
Micron Technology,136,66036,Semiconductors and Other Electronic Components,"Micron Technology, Inc. is an American producer of computer memory and computer data storage including dynamic random-access memory, flash memory, and USB flash drives. It is one of the largest memory manufacturers in the world and its products are used in a wide range of applications, from consumer electronics to enterprise servers. Micron Technology was founded in 1978 and has grown to become a leading player in the semiconductor industry."
Visa,137,475307,Financial Data Services,"Visa Inc. is an American multinational financial services corporation that facilitates electronic funds transfers throughout the world. It operates one of the world's largest payment processing networks, connecting consumers, businesses, financial institutions, and governments in more than 200 countries and territories. Visa enables digital payments and provides various financial services, including credit, debit, and prepaid cards. The company does not issue cards, extend credit, or set rates and fees for consumers; rather, it partners with financial institutions to offer Visa-branded payment products to their customers."
Southern Company,138,75948,Utilities: Gas and Electric,"Southern Company is an American electric utility holding company based in the United States. It is one of the largest utility companies in the country, serving millions of customers in the Southeastern United States. Southern Company operates a range of energy-related businesses, including traditional and renewable electric utilities, natural gas distribution, and energy services. The company is known for its focus on innovation and sustainability in the energy sector."
United Natural Foods,139,1565,Wholesalers: Food and Grocery,"United Natural Foods, Inc. (UNFI) is an American distributor of natural, organic, and specialty foods and non-food products. The company provides products to a wide range of customer locations, including natural product superstores, independent retailers, conventional supermarket chains, e-commerce retailers, and food service customers. UNFI has a focus on sustainability and social responsibility, aiming to provide healthier food options while also reducing its environmental impact. The company was founded in 1996 and has since grown to become a prominent distributor in the natural foods industry."
Paccar,140,38251,Motor Vehicles & Parts,"PACCAR Inc is an American Fortune 500 company and a global technology leader in the design, manufacture, and customer support of high-quality light, medium, and heavy-duty trucks under the Kenworth, Peterbilt, Leyland Trucks, and DAF brands. PACCAR also designs and manufactures advanced diesel engines, provides financial services, information technology, and distributes truck parts related to its principal business. The company has a reputation for innovation, quality, and sustainability in the trucking industry."
Duke Energy,141,74344,Utilities: Gas and Electric,"Duke Energy Corporation is an American utility company headquartered in the United States. It operates in the energy sector, specifically in electric power and natural gas distribution. Duke Energy serves millions of customers across several states, providing electricity and gas services. The company is known for its focus on renewable energy and sustainable practices, aiming to reduce its environmental impact. Duke Energy Corporation is a major player in the energy industry, with a significant presence in the market."
Eli Lilly,142,326351,Pharmaceuticals,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana. The company was founded in 1876 by Colonel Eli Lilly, a pharmaceutical chemist. Eli Lilly and Company is known for developing and manufacturing pharmaceutical drugs and medical devices across a range of therapeutic areas, including neuroscience, endocrinology, oncology, and immunology. The company is one of the largest pharmaceutical companies in the world and is particularly well-known for its production of insulin and other diabetes treatments. Eli Lilly and Company has a significant global presence and operates in numerous countries around the world."
Hewlett Packard Enterprise,143,20643,"Computers, Office Equipment","Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company. It was formed on November 1, 2015, following the split of the Hewlett-Packard Company into two separate entities: HP Inc. and HPE. HPE focuses on developing and providing a wide range of technology products, software, and services to businesses, government agencies, and educational institutions. Its offerings include servers, storage, networking, software, and consulting services. HPE is known for its innovation in areas such as edge computing, hybrid cloud solutions, and artificial intelligence. The company serves customers in various industries, including telecommunications, financial services, healthcare, and manufacturing."
Dollar Tree,144,31757,Specialty Retailers: Other,"Dollar Tree, Inc. is an American chain of discount variety stores that sells items for $1 or less. It operates more than 15,000 stores throughout the United States and Canada, offering a wide range of products including food and snacks, health and beauty products, household supplies, party supplies, toys, and more. The company's stores are typically small in size and are known for providing customers with low-cost options for everyday items. Founded in 1986, Dollar Tree has become a popular destination for budget-conscious shoppers looking for affordable goods."
Lithia Motors,145,6337,"Automotive Retailing, Services","Lithia Motors, Inc. is an American company that operates as an automotive retailer. It is one of the largest providers of personal transportation solutions in the United States, offering new and used vehicles, financing, warranty, and vehicle maintenance services. The company operates a network of dealerships representing various automotive brands across the country. Additionally, Lithia Motors provides online sales through its websites and offers customer-focused services to enhance the car-buying experience."
Cummins,146,33811,Industrial Machinery,"Cummins Inc. is an American multinational corporation that designs, manufactures, and distributes engines, filtration, and power generation products. The company was founded in 1919 by Clessie Cummins and W.G. Irwin and is headquartered in the United States. Cummins operates in several segments, including engine, distribution, components, power systems, and new power. With a focus on innovation and sustainability, Cummins serves customers in a variety of industries, including trucking, mining, construction, agriculture, and marine. The company is known for its diesel and natural gas engines, as well as its commitment to environmental stewardship."
Penske Automotive Group,147,9795,"Automotive Retailing, Services","Penske Automotive Group, Inc. is an international transportation services company that operates automotive and commercial truck dealerships principally in the United States, the United Kingdom, Germany, and other selected international markets. The company sells new and previously owned vehicles, finance and insurance products, and replacement parts, and offers maintenance and repair services on all its brands. Penske Automotive Group, Inc. also distributes commercial vehicles, diesel engines, gas engines, power systems, and related parts and services in Australia and New Zealand."
PayPal Holdings,148,85917,Financial Data Services,"PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders. PayPal is one of the world's largest Internet payment companies and operates as a payment processor for online vendors, auction sites, and other commercial users, where customers can securely make payments or transfer money online. The company also owns several digital payment platforms, including Venmo and Braintree."
U.S. Bancorp,149,55221,Commercial Banks,"U.S. Bancorp is an American bank holding company based in Minneapolis, Minnesota. It is the parent company of U.S. Bank National Association. With over 70,000 employees and more than 3,000 banking offices in 26 states, U.S. Bancorp is one of the largest financial services providers in the United States. The company offers a wide range of financial services, including banking, investment, mortgage, trust, and payment services to individuals, businesses, governmental entities, and other financial institutions. U.S. Bancorp is known for its strong commitment to customer service, innovation, and community involvement."
Gilead Sciences,150,103614,Pharmaceuticals,"Gilead Sciences, Inc. is an American biopharmaceutical company that researches, develops, and commercializes drugs, with a focus on antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza. The company is known for its development of the first drug approved for HIV pre-exposure prophylaxis (PrEP) and for its groundbreaking treatments for hepatitis C. Gilead Sciences has also expanded its portfolio to include drugs for cardiovascular and respiratory conditions, as well as oncology."
AutoNation,151,6301,"Automotive Retailing, Services","AutoNation, Inc. is an American automotive retailer that was founded in 1996. It is the largest automotive retailer in the United States, with over 300 locations across the country. AutoNation sells new and used vehicles, as well as offering maintenance and repair services. The company represents various brands and strives to provide a seamless and convenient car buying experience for customers."
Nvidia,152,686092,Semiconductors and Other Electronic Components,"NVIDIA Corporation is an American multinational technology company known for designing graphics processing units (GPUs) for the gaming and professional markets. In addition to GPUs, NVIDIA also creates system on a chip units (SoCs) for the mobile computing and automotive market. The company was founded in 1993 and has since grown to become a leading player in the semiconductor industry. NVIDIA is renowned for its innovation in artificial intelligence, gaming, and autonomous vehicles, among other technologies."
Kraft Heinz,153,47448,Food Consumer Products,"Kraft Heinz is an American multinational food company formed by the merger of Kraft Foods Group and Heinz in 2015. The company is known for its popular food brands such as Kraft, Heinz, Oscar Mayer, and Philadelphia. Kraft Heinz is one of the largest food and beverage companies in the world, with a wide range of products including condiments, beverages, cheese, and ready-to-eat meals."
Amgen,154,129089,Pharmaceuticals,"Amgen Inc. is an American multinational biopharmaceutical company that is headquartered in California. The company focuses on the development and commercialization of therapeutics and treatments in various areas, including oncology, nephrology, inflammation, bone health, and cardiovascular disease. Amgen is known for its innovative biotechnology products and has made significant contributions to the healthcare industry through its development of novel therapies for serious illnesses. Established in 1980, the company has grown to become one of the leading biotechnology companies in the world."
Applied Materials,155,103806,Semiconductors and Other Electronic Components,"Applied Materials, Inc. is an American corporation that supplies equipment, services, and software to enable the manufacture of semiconductor chips, flat panel displays, and solar products. The company was founded in 1967 and has since become one of the world's largest suppliers of semiconductor manufacturing equipment. Applied Materials operates globally, serving customers in the semiconductor industry, display industry, and related technology fields."
EOG Resources,156,67371,"Mining, Crude-Oil Production","EOG Resources, Inc. is an American energy company engaged in hydrocarbon exploration and production. It is one of the largest independent oil and natural gas companies in the United States. EOG stands for ""Enron Oil & Gas,"" as it was originally a subsidiary of Enron Corporation before becoming an independent company. EOG Resources has operations in several states across the U.S. and focuses on developing and producing oil and natural gas from unconventional resources such as shale formations. The company is known for its technological innovation and operational efficiency in the exploration and production of hydrocarbons."
Truist Financial,157,45290,Commercial Banks,"Truist Financial Corporation is an American bank holding company formed in 2019 through the merger of BB&T and SunTrust Banks. It is one of the largest financial services companies in the United States, providing a wide range of banking, lending, insurance, and investment services to consumers, businesses, and institutions. Truist operates over 2,000 branches and has a significant presence in the Southeastern United States. The company is committed to providing innovative financial solutions and building stronger communities through its corporate social responsibility initiatives."
Macy's,158,4747,General Merchandisers,"Macy's, Inc. is an American holding company that owns and operates Macy's department stores, Bloomingdale's department stores, and Bluemercury beauty stores. Macy's, Inc. was established in 1929 and is one of the largest department store chains in the United States. The company offers a wide range of products including apparel, accessories, cosmetics, home goods, and more. Macy's, Inc. is known for its iconic flagship store in New York City and has a significant presence in many major cities across the country."
Union Pacific,159,123146,Railroads,"Union Pacific Corporation is a publicly traded transportation company that operates as the parent company of the Union Pacific Railroad, which is one of the largest railroad networks in the United States. The company's railroad network covers 23 states in the western two-thirds of the country, serving diverse markets such as agriculture, automotive, energy, and industrial products. Union Pacific Corporation was established in the 1969 merger of the Union Pacific Railroad and the Central Pacific Railroad, which played a significant role in the construction of the First Transcontinental Railroad in the 19th century."
C.H. Robinson Worldwide,160,11417,Transportation and Logistics,"C.H. Robinson Worldwide, Inc. is a Fortune 500 third-party logistics and transportation company. It offers multimodal transportation services and logistics solutions, including truckload, less than truckload, intermodal, ocean, and air freight, as well as contract logistics services. The company is headquartered in the United States and operates globally, providing services to a wide range of industries. C.H. Robinson is known for its technology-driven approach to logistics and supply chain management."
Rite Aid,161,127,Food & Drug Stores,"Rite Aid Corporation is a renowned drugstore chain in the United States, providing a wide range of health and wellness products, including prescription medications, over-the-counter drugs, beauty products, and general merchandise. The company also offers pharmacy services, health screenings, immunizations, and wellness programs at its locations. Rite Aid operates numerous stores across multiple states, serving communities with essential healthcare and retail services."
Constellation Energy,162,25712,Energy,"Constellation Energy Corporation is a leading energy company that provides electric power, natural gas, renewable energy, and energy management products and services to residential, commercial, industrial, and government customers in the United States. The company is a subsidiary of Exelon Corporation and is known for its innovative energy solutions and commitment to sustainability and environmental responsibility. Constellation Energy Corporation offers a wide range of products and services aimed at helping customers manage their energy consumption and costs efficiently."
Avnet,163,4130,Wholesalers: Electronics and Office Equipment,"Avnet, Inc. is a global technology company that specializes in the distribution of electronic components and embedded solutions. The company was founded in 1921 and has since grown to become one of the largest distributors of electronic components and embedded solutions worldwide. Avnet serves a wide range of industries, including automotive, healthcare, and industrial markets, providing design, supply chain, and logistics support to help customers bring their products to market efficiently. With a focus on innovation and collaboration, Avnet works closely with customers and suppliers to provide cutting-edge technology solutions."
Pioneer Natural Resources,164,47997,"Mining, Crude-Oil Production","Pioneer Natural Resources Company is an American oil and gas exploration and production company. It is engaged in the acquisition, exploration, and development of oil and gas properties primarily in the Permian Basin. The company also has operations in the Eagle Ford Shale and the West Panhandle field. Pioneer Natural Resources Company is known for its focus on utilizing advanced technology and practices to maximize the efficiency and productivity of its operations."
